Lot,Date,Ticker,Qty,Cost,Cost of goods,,,
1,9-Oct-20,PLTR,4363,10.00,43630,,,
2,9-Oct-20,PLTR,2120,10.00,21200,,,
3,19-Feb-21,PLTR,3500,25.17,88095,,,
4,25-Feb-21,PLTR,6616,26.39,174596.24,,,
5,19-Mar-21,PLTR,2900,23.98,69542,,,
6,25-Mar-21,PLTR,168,21.88,3675.84,,,
7,30-Mar-21,PLTR,747,21.73,16232.31,,,
8,8-Apr-21,PLTR,2759,22.90,63181.1,,,
9,10-May-21,PLTR,50,19.00,950,,,
10,13-May-21,PLTR,400,18.30,7320,,,
11,14-Jul-21,PLTR,400,22.00,8800,,,
12,12-Jan-22,PLTR,-673,16.73,,,,
13,31-Jan-22,PLTR,200,13.51,2702,,,
14,31-Jan-22,PLTR,200,13.50,2700,,,
15,22-Feb-22,PLTR,-3560,10.49,,,,
16,22-Feb-22,PLTR,-5935,10.49,,,,
17,22-Feb-22,PLTR,-80,10.50,,,,
18,22-Feb-22,PLTR,-2000,10.41,,,,
19,22-Feb-22,PLTR,-3750,10.40,,,,
20,28-Apr-22,PLTR,100,10.94,1094,,,
21,9-Mar-23,PLTR,-1000,8.18,,,,
22,9-Mar-23,PLTR,-1900,8.19,,,,
23,9-Mar-23,PLTR,-1600,8.15,,,,
24,9-Mar-23,PLTR,-1500,8.21,,,,
25,9-Mar-23,PLTR,-1525,8.07,,,,
